Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Rajon Rondo,2017,1,3300000,99093000,0.033302049589779295,PG,30,CHI,69,3.3,8.1,0.408,0.7,1.9,0.376,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,7.8,0.461,0.237,0.089,17.8,-0.4,2.7,-1.6,1
Anthony Tolliver,2017,1,3300000,99093000,0.033302049589779295,PF,31,SAC,65,2.4,5.4,0.442,1.4,3.5,0.391,0.9,1.3,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,7.1,0.595,0.655,0.234,13.6,1.5,0.8,-0.1,-0.8
Alan Williams,2017,3,5666666.666666667,99093000,0.057185337679419,C,24,PHO,47,2.9,5.7,0.517,0,0,0,1.5,2.4,0.625,2,4.2,6.2,0.5,0.6,0.7,0.8,7.4,0.547,0.004,0.419,20.9,1.1,0.9,-0.8,-0.6
Jonathon Simmons,2017,3,6666666.666666667,99093000,0.06727686785814,SG,27,SAS,78,2.3,5.4,0.42,0.4,1.3,0.294,1.3,1.7,0.75,0.3,1.8,2.1,1.6,0.6,0.3,1,6.2,0.504,0.242,0.314,18,-0.1,2.1,-3.7,1.1
Rudy Gay,2017,2,8500000,99093000,0.0857780065191285,SF,30,SAC,30,6.7,14.7,0.455,1.4,3.8,0.372,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,18.7,0.559,0.256,0.312,25.8,0.8,1,1.4,0.5
Dion Waiters,2017,4,13000000,99093000,0.131189892323373,SG,25,MIA,46,6.1,14.4,0.424,1.8,4.7,0.395,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,15.8,0.507,0.324,0.192,26.3,0.2,1.5,0.3,-0.4
Shelvin Mack,2017,2,6000000,99093000,0.060549181072326,PG,26,UTA,55,3.1,6.9,0.446,0.7,2.2,0.308,1,1.4,0.688,0.4,1.9,2.3,2.8,0.8,0.1,1.6,7.8,0.518,0.315,0.202,19.6,-0.1,1.5,-2.5,0.2
Langston Galloway,2017,3,7000000,99093000,0.070640711251047,PG,25,TOT,74,2.8,7.4,0.38,1.6,4.2,0.39,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,7.9,0.51,0.565,0.117,18.4,0.2,1.1,-1.5,-0.7
Jodie Meeks,2017,2,3500000,99093000,0.0353203556255235,SG,29,ORL,36,2.9,7.1,0.402,1.6,3.8,0.409,1.8,2.1,0.878,0.1,2,2.1,1.3,0.9,0.1,1,9.1,0.567,0.535,0.289,19.4,0.5,0.6,-1.3,-0.4
Reggie Bullock,2017,2,2500000,99093000,0.025228825446802498,SF,25,DET,31,1.7,4.1,0.422,0.9,2.4,0.384,0.2,0.2,0.714,0.4,1.6,2.1,0.9,0.6,0.1,0.3,4.5,0.538,0.57,0.055,13.4,0.4,0.5,-1,1.3
Tyreke Evans,2017,1,3300000,99093000,0.033302049589779295,SF,27,TOT,40,3.8,9.3,0.405,1.1,3,0.356,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,10.3,0.501,0.319,0.249,26.7,-0.2,0.9,-0.1,0.5
Jeff Green,2017,1,2300000,99093000,0.023210519411058297,PF,30,ORL,69,3.2,8.1,0.394,0.8,2.8,0.275,2.1,2.4,0.863,0.6,2.5,3.1,1.2,0.5,0.2,1.1,9.2,0.505,0.346,0.301,20.3,-0.2,0.9,-2.4,-1.2
Ben McLemore,2017,2,5300000,99093000,0.0534851099472213,SG,23,SAC,61,3,6.9,0.43,1.1,2.8,0.382,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,8.1,0.538,0.406,0.222,20.1,-0.1,0.5,-2.5,-1.7
Michael Carter-Williams,2017,1,2700000,99093000,0.027247131482546698,PG,25,CHI,45,2.5,6.8,0.366,0.3,1.4,0.234,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,6.6,0.437,0.209,0.252,20.9,-1,1.3,-4.5,1.3
